j,psi,blm_firm_type
845,0.294862037638823,9
846,0.631400448849489,4
847,-0.396314883405963,2
848,0.0555282432444023,7
849,0.272954883286668,4
850,0.412912176629668,1
851,0.334100594645247,9
852,0.121437325845792,8
853,-0.327826259123684,8
854,-0.0428191336996338,2
855,0.0797916322114933,4
856,0.405218823939288,1
857,-0.997034980298903,5
858,-0.569604308765702,8
859,0.374171458433418,9
860,-0.287921858428787,8
861,-0.534785454491051,7
862,-0.575073429062166,3
863,-0.512471164329806,7
864,-0.493740663849748,7
865,-0.693460058258303,7
866,0.0259472267125628,2
867,-0.235853955953334,3
868,-0.574805720760923,3
869,-0.19023898578315,3
870,0.142191805249474,9
871,-0.598625846682836,5
872,-0.362844128044208,5
873,-0.263299028849429,2
874,-0.380877789845114,8
875,-0.615774119235348,7
876,0.237944988921428,1
877,0.508626411773552,4
878,-0.613604461448496,3
879,-0.286487904222784,8
880,-0.286031283801576,8
881,0.223118794453465,2
882,-0.109994877785656,8
883,-0.149668436876731,7
884,-1.07406062829534,5
885,-0.278943643195872,2
886,-0.663440166719233,3
887,0.143332148938953,1
888,-0.0201719085047346,2
889,-0.299228827493716,3
890,0.397358568275325,4
891,-1.32900715652973,0
892,-0.217157668202422,2
893,0.331088866253124,4
894,-0.0418563743031794,8
895,0.225515794161279,9
896,0.461345986917363,9
897,0.354272625526089,1
898,0.289810788306957,9
899,0.314691444302893,1
900,-1.00323539607986,0
901,0.0428210194708915,2
902,0.142053535282723,9
903,-0.0345547503982475,3
904,-0.927008476118255,5
905,-0.483307877004301,3
906,-0.411114009781866,7
907,0.486897197969346,9
908,-0.0988301166224574,7
909,0.395748255861225,1
910,0.0944946106354735,1
911,-0.452654889182386,8
912,-0.138337357813062,8
913,0.146546022688917,9
914,-0.46723182737667,8
915,0.231454414163799,1
916,0.536282850873861,1
917,0.726191070033057,6
918,1.00061209612868,6
919,-0.404671034124449,5
920,-0.299038001084246,2
921,-0.323208769505119,8
922,-0.403558844244767,3
923,0.302264477168618,4
924,-0.925114108109646,5
925,0.703238843055437,4
926,-0.727506310380978,5
927,-0.672953520881022,5
928,0.0453862562267674,2
929,-0.375028864234183,8
930,-0.389976958480742,8
931,0.256061610115479,4
932,-0.0623413464042241,1
933,0.476152412631484,4
934,0.102622470207103,1
935,-0.035901333043938,1
936,0.473325803172748,4
937,1.08655297612131,6
938,-0.315828852587237,2
939,-0.0126649745565852,9
